code,MSISDNs,ID,sub_date,reg,status
91,7123456789,TA164,26/11/2013,PA,ac@tive
255,,TA24,15/11/2012,HP,act@ive
94,8715677942,TA34,18/10/2012,IN,deac@tivated
733,8915927963,TA34,18/10/2012,CT,active
91,9817959947,TA24,15/11/2012,RD,active
897,9863952279,TA34,18/10/2012,FOF,suspended
95,6398239028,TA49,3/12/2012,MTR,active
51,7123456785,TA164,26/11/2013,PA,active
255,8705747571,TA24,15/11/2012,HP,active
54,8715677542,TA34,18/10/2012,IN,deactivated
 733 ,8515527563,TA34,18/10/2012,CT,active
 51,5817555547,TA24,15/11/2012,RD,active
 857,5863552275,TA34,18/10/2012,FOF,suspended
  55  ,6358235028,TA45,3/12/2012,MTR,active
